recordid,iid,id,gender,idg,condtn,wave,round,position,positin1,order,partner,pid,int_corr,samerace,age_o,race_o,pf_o_att,pf_o_sin,pf_o_int,pf_o_fun,pf_o_amb,pf_o_sha,dec_o,attr_o,sinc_o,intel_o,fun_o,amb_o,shar_o,like_o,prob_o,met_o,age,field,field_cd,undergra,mn_sat,tuition,race,imprace,imprelig,from,zipcode,income,goal,date,go_out,career,career_c,sports,tvsports,exercise,dining,museums,art,hiking,gaming,clubbing,reading,tv,theater,movies,concerts,music,shopping,yoga,exphappy,expnum,attr1_1,sinc1_1,intel1_1,fun1_1,amb1_1,shar1_1,attr4_1,sinc4_1,intel4_1,fun4_1,amb4_1,shar4_1,attr2_1,sinc2_1,intel2_1,fun2_1,amb2_1,shar2_1,attr3_1,sinc3_1,fun3_1,intel3_1,amb3_1,attr5_1,sinc5_1,intel5_1,fun5_1,amb5_1,dec,attr,sinc,intel,fun,amb,shar,like,prob,met,match_es,attr1_s,sinc1_s,intel1_s,fun1_s,amb1_s,shar1_s,attr3_s,sinc3_s,intel3_s,fun3_s,amb3_s,satis_2,length,numdat_2,attr7_2,sinc7_2,intel7_2,fun7_2,amb7_2,shar7_2,attr1_2,sinc1_2,intel1_2,fun1_2,amb1_2,shar1_2,attr4_2,sinc4_2,intel4_2,fun4_2,amb4_2,shar4_2,attr2_2,sinc2_2,intel2_2,fun2_2,amb2_2,shar2_2,attr3_2,sinc3_2,intel3_2,fun3_2,amb3_2,attr5_2,sinc5_2,intel5_2,fun5_2,amb5_2,you_call,them_cal,date_3,numdat_3,num_in_3,attr1_3,sinc1_3,intel1_3,fun1_3,amb1_3,shar1_3,attr7_3,sinc7_3,intel7_3,fun7_3,amb7_3,shar7_3,attr4_3,sinc4_3,intel4_3,fun4_3,amb4_3,shar4_3,attr2_3,sinc2_3,intel2_3,fun2_3,amb2_3,shar2_3,attr3_3,sinc3_3,intel3_3,fun3_3,amb3_3,attr5_3,sinc5_3,intel5_3,fun5_3,amb5_3
7411,509,1,0,1,2,21,22,21,21,8,1,531,-0.12,1,25,4,15,30,20,20,10,5,1,7,10,10,10,10,8,7,5,2,28,journalism,6,NYU,"1,340.00","25,380.00",4,2,2,working,"10,594",,2,4,2,journalism,16,6,3,6,7,7,7,3,3,4,6,4,4,8,5,7,7,7,6,NA,10,20,30,10,10,20,50,10,10,10,10,10,50,10,10,10,10,10,5,6,4,8,9,5,6,8,3,9,0,2,8,6,5,4,4,3,7,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1,2,30,20,10,20,5,5,10,20,10,20,10,30,50,10,10,20,5,5,70,5,5,10,5,5,3,3,7,2,7,3,3,8,2,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7412,509,1,0,1,2,21,22,21,21,5,2,532,0.03,1,26,4,25,20,20,20,5,10,1,6,7,8,6,8,8,8,5,2,28,journalism,6,NYU,"1,340.00","25,380.00",4,2,2,working,"10,594",,2,4,2,journalism,16,6,3,6,7,7,7,3,3,4,6,4,4,8,5,7,7,7,6,NA,10,20,30,10,10,20,50,10,10,10,10,10,50,10,10,10,10,10,5,6,4,8,9,5,6,8,3,9,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1,2,30,20,10,20,5,5,10,20,10,20,10,30,50,10,10,20,5,5,70,5,5,10,5,5,3,3,7,2,7,3,3,8,2,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7413,509,1,0,1,2,21,22,21,21,20,3,533,0.37,0,26,2,25,25,25,13,12,0,0,6,NA,7,5,5,6,5,5,2,28,journalism,6,NYU,"1,340.00","25,380.00",4,2,2,working,"10,594",,2,4,2,journalism,16,6,3,6,7,7,7,3,3,4,6,4,4,8,5,7,7,7,6,NA,10,20,30,10,10,20,50,10,10,10,10,10,50,10,10,10,10,10,5,6,4,8,9,5,6,8,3,9,0,2,2,2,2,3,2,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1,2,30,20,10,20,5,5,10,20,10,20,10,30,50,10,10,20,5,5,70,5,5,10,5,5,3,3,7,2,7,3,3,8,2,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7414,509,1,0,1,2,21,22,21,21,7,4,534,0.11,0,24,6,30,30,30,5,2,3,1,6,5,4,6,6,6,6,6,2,28,journalism,6,NYU,"1,340.00","25,380.00",4,2,2,working,"10,594",,2,4,2,journalism,16,6,3,6,7,7,7,3,3,4,6,4,4,8,5,7,7,7,6,NA,10,20,30,10,10,20,50,10,10,10,10,10,50,10,10,10,10,10,5,6,4,8,9,5,6,8,3,9,0,8,5,7,6,7,3,5,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1,2,30,20,10,20,5,5,10,20,10,20,10,30,50,10,10,20,5,5,70,5,5,10,5,5,3,3,7,2,7,3,3,8,2,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7415,509,1,0,1,2,21,22,21,21,4,5,535,0.39,0,23,2,23,14,19,16,10,18,1,6,8,8,6,7,6,7,5,2,28,journalism,6,NYU,"1,340.00","25,380.00",4,2,2,working,"10,594",,2,4,2,journalism,16,6,3,6,7,7,7,3,3,4,6,4,4,8,5,7,7,7,6,NA,10,20,30,10,10,20,50,10,10,10,10,10,50,10,10,10,10,10,5,6,4,8,9,5,6,8,3,9,1,3,7,6,6,5,4,5,4,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1,2,30,20,10,20,5,5,10,20,10,20,10,30,50,10,10,20,5,5,70,5,5,10,5,5,3,3,7,2,7,3,3,8,2,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7416,509,1,0,1,2,21,22,21,21,19,6,536,0.84,0,29,2,30,20,20,20,10,0,0,6,7,6,4,8,3,6,4,2,28,journalism,6,NYU,"1,340.00","25,380.00",4,2,2,working,"10,594",,2,4,2,journalism,16,6,3,6,7,7,7,3,3,4,6,4,4,8,5,7,7,7,6,NA,10,20,30,10,10,20,50,10,10,10,10,10,50,10,10,10,10,10,5,6,4,8,9,5,6,8,3,9,1,5,5,5,5,5,5,5,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1,2,30,20,10,20,5,5,10,20,10,20,10,30,50,10,10,20,5,5,70,5,5,10,5,5,3,3,7,2,7,3,3,8,2,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7417,509,1,0,1,2,21,22,21,21,9,7,537,0.67,1,22,4,20,5,25,25,5,20,1,7,8,9,8,8,8,7,6,NA,28,journalism,6,NYU,"1,340.00","25,380.00",4,2,2,working,"10,594",,2,4,2,journalism,16,6,3,6,7,7,7,3,3,4,6,4,4,8,5,7,7,7,6,NA,10,20,30,10,10,20,50,10,10,10,10,10,50,10,10,10,10,10,5,6,4,8,9,5,6,8,3,9,1,5,4,5,6,6,7,6,6,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1,2,30,20,10,20,5,5,10,20,10,20,10,30,50,10,10,20,5,5,70,5,5,10,5,5,3,3,7,2,7,3,3,8,2,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7418,509,1,0,1,2,21,22,21,21,14,8,538,0.36,0,32,2,50,0,10,30,0,10,1,7,7,9,8,7,8,8,10,2,28,journalism,6,NYU,"1,340.00","25,380.00",4,2,2,working,"10,594",,2,4,2,journalism,16,6,3,6,7,7,7,3,3,4,6,4,4,8,5,7,7,7,6,NA,10,20,30,10,10,20,50,10,10,10,10,10,50,10,10,10,10,10,5,6,4,8,9,5,6,8,3,9,1,6,5,6,7,7,6,5,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1,2,30,20,10,20,5,5,10,20,10,20,10,30,50,10,10,20,5,5,70,5,5,10,5,5,3,3,7,2,7,3,3,8,2,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7419,509,1,0,1,2,21,22,21,21,18,9,539,0.58,0,22,2,30,10,20,15,15,10,0,1,6,5,5,4,3,5,0,2,28,journalism,6,NYU,"1,340.00","25,380.00",4,2,2,working,"10,594",,2,4,2,journalism,16,6,3,6,7,7,7,3,3,4,6,4,4,8,5,7,7,7,6,NA,10,20,30,10,10,20,50,10,10,10,10,10,50,10,10,10,10,10,5,6,4,8,9,5,6,8,3,9,0,2,6,3,6,5,7,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1,2,30,20,10,20,5,5,10,20,10,20,10,30,50,10,10,20,5,5,70,5,5,10,5,5,3,3,7,2,7,3,3,8,2,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7420,509,1,0,1,2,21,22,21,21,11,10,540,0.1,0,24,2,20,15,20,20,15,10,0,6,7,6,5,3,3,5,3,2,28,journalism,6,NYU,"1,340.00","25,380.00",4,2,2,working,"10,594",,2,4,2,journalism,16,6,3,6,7,7,7,3,3,4,6,4,4,8,5,7,7,7,6,NA,10,20,30,10,10,20,50,10,10,10,10,10,50,10,10,10,10,10,5,6,4,8,9,5,6,8,3,9,1,5,8,7,5,3,3,5,5,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1,2,30,20,10,20,5,5,10,20,10,20,10,30,50,10,10,20,5,5,70,5,5,10,5,5,3,3,7,2,7,3,3,8,2,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
